Song_ID,Song Name,Artist,Genre,Description
98,La Vie en Rose,Edith Piaf,Chanson,A timeless and melancholic French song about love and loss with a touch of Parisian flair.
99,Despacito (Remix),Luis Fonsi ft. Daddy Yankee & Justin Bieber,Latin Pop,A global smash hit combining Latin rhythms with pop sensibilities and Justin Bieber's smooth vocals.
100,One More Time,Daft Punk,Electronic Dance Music,A hypnotic and futuristic electronic song that became a defining track of the French house movement.
101,Gangnam Style,PSY,K-Pop,A quirky and catchy K-Pop song with a viral dance craze that took the world by storm.
102,Jai Ho (You Are My Destiny),A. R. Rahman ft. Sukhwinder Singh & Mahalaxmi Iyer,Bollywood,"A high-energy and celebratory song from the movie ""Slumdog Millionaire"" that blends Indian sounds with Western influences."
103,Pata Pata,Asha Bhosle,Bollywood,A playful and energetic Bollywood classic with a catchy rhythm and iconic dance moves.
104,What a Difference a Day Makes,Dinah Washington,Jazz Blues,A beautiful and soulful ballad about the power of time and change.
105,Fly Me to the Moon,Frank Sinatra,Swing,A smooth and sophisticated swing classic about longing for escape and romance.
106,Dream a Little Dream of Me,The Mamas & the Papas,Folk Rock,A dreamy and melancholic folk song about longing and hope.
107,California Dreamin',The Mamas & the Papas,Folk Rock,A sunny and optimistic song about yearning for the California lifestyle.
108,Mr. Bojangles,Sammy Davis Jr.,Jazz Pop,A heartwarming and toe-tapping song about a talented tap dancer and the power of resilience.
109,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,Soul,A powerful and uplifting duet about overcoming obstacles and achieving love.
110,I Will Survive (live version),Gloria Gaynor,Disco,"Another electrifying live performance of I Will Survive, showcasing the song's enduring anthemic power."
111,Le Freak,Chic,Disco,A funky and playful disco song celebrating individuality and the joys of dancing.
112,Don't Stop 'Til You Get Enough,Michael Jackson,Pop,A high-energy and infectious dance song showcasing Michael Jackson's unique vocal style.
113,Billie Jean (extended version),Michael Jackson,Pop,"An extended version of Billie Jean, providing more space for Michael Jackson's iconic moonwalk and instrumental exploration."
114,Like a Virgin,Madonna,Pop,A controversial and provocative pop song that established Madonna as a pop icon.
115,Sweet Child o' Mine (acoustic version),Guns N' Roses,Hard Rock,"A stripped-down and intimate acoustic version of Sweet Child o' Mine, highlighting the song's emotional core."
116,November Rain,Guns N' Roses,Hard Rock,An epic and emotional ballad with soaring guitar solos and a dramatic piano outro.
117,Smells Like Teen Spirit (acoustic version),Nirvana,Grunge,"An introspective and raw acoustic version of Smells Like Teen Spirit, stripping down the song's aggression to reveal its underlying vulnerability."
118,Come As You Are,Nirvana,Grunge,A dark and brooding grunge anthem about alienation and self-acceptance.
119,Lithium,Nirvana,Grunge,A chaotic and energetic grunge song with manic vocals and distorted guitars.
120,Creep (acoustic version),Radiohead,Alternative Rock,"A haunting and stripped-down acoustic version of Creep, emphasizing the song's introspective lyrics and emotional depth."
121,High and Dry,Radiohead,Alternative Rock,"A moody and atmospheric song with lyrics which are cryptic and open to interpretation, but they seem to express feelings of isolation, confusion, and yearning."
122,What a Feeling (acoustic version),Irene Cara,Pop,"A stripped-down and intimate version of What a Feeling, highlighting the song's emotional core and powerful vocals."
123,A Night in Tunisia (live version),Dizzy Gillespie,Bebop Jazz,A thrilling live performance of A Night in Tunisia showcasing Dizzy Gillespie's virtuosic bebop trumpet playing and the band's improvisational skills.
124,Singin' in the Rain (Gene Kelly live version),Gene Kelly,Musical,"A captivating live performance of Singin' in the Rain by Gene Kelly, showcasing his iconic dance moves and infectious enthusiasm."
125,Can't Help Falling in Love,Elvis Presley,Rock and Roll,"A sweet and romantic ballad by Elvis Presley, showcasing his softer side and smooth vocals."
126,I Wanna Dance With Somebody (Who Loves Me) (live version),Whitney Houston,Pop,"Another electrifying live rendition of I Wanna Dance With Somebody, showcasing Whitney Houston's incredible vocal range and stage presence."
127,Blue Skies,Willie Nelson,Country,"A laid-back and optimistic country song by Willie Nelson, celebrating hope and brighter days."
128,Rhiannon (Fleetwood Mac version),Fleetwood Mac,Rock,"A haunting and mystical rock song by Fleetwood Mac, featuring Stevie Nicks's distinctive vocals and a captivating melody."
129,Dreams,Fleetwood Mac,Rock Pop,"A dreamy and atmospheric rock song by Fleetwood Mac, exploring themes of love, loss, and self-discovery."
130,Hotel California (live version),Eagles,Rock,"A mesmerizing live performance of Hotel California, capturing the song's epic atmosphere and extended guitar solo."
131,Wish You Were Here,Pink Floyd,Progressive Rock,"A beautiful and melancholic progressive rock song by Pink Floyd, reflecting on loss and absence."
132,Comfortably Numb,Pink Floyd,Progressive Rock,"A dark and atmospheric progressive rock song by Pink Floyd, exploring themes of alienation and pain."
133,Bohemian Rhapsody (live version),Queen,Rock,"A legendary live performance of Bohemian Rhapsody, showcasing Queen's musical complexity and Freddie Mercury's charismatic stage presence."
134,We Are the Champions,Queen,Rock,"An anthemic rock song by Queen, celebrating perseverance and achieving goals."
135,Don't Look Back in Anger (live version),Oasis,Britpop,"A powerful live performance of Don't Look Back in Anger, emphasizing the song's hopeful and uplifting message."
136,Champagne Supernova (live version),Oasis,Britpop,"A mesmerizing live rendition of Champagne Supernova, showcasing the song's epic structure and Noel Gallagher's distinctive guitar work."
137,Walking on Sunshine,Katrina & The Waves,Pop Rock,A bright and upbeat pop rock song with a catchy melody and optimistic lyrics.
138,Mr. Blue Sky (live version),Electric Light Orchestra (ELO),Rock,"A captivating live performance of Mr. Blue Sky, bringing the song's energy and intricate orchestration to life."
139,Don't Stop Believin' (live version),Bon Jovi,Rock,"An electrifying live rendition of Don't Stop Believin', showcasing the song's anthemic power and audience singalong potential."
140,Livin' on a Prayer (acoustic version),Bon Jovi,Rock,"A stripped-down and intimate acoustic version of Livin' on a Prayer, revealing the song's emotional core and vulnerability."
141,I Follow Rivers (live version),Lykke Li,Indie Pop,"A captivating live performance of I Follow Rivers, showcasing the song's dreamlike atmosphere and Lykke Li's captivating vocals."
142,Take On Me (live version),a-ha,Synthpop,"A high-energy live rendition of Take On Me, replicating the song's iconic melody and visuals."
143,Whole Lotta Rosie (live version),AC/DC,Hard Rock,"A ferocious live performance of Whole Lotta Rosie, showcasing AC/DC's raw energy and Angus Young's electrifying guitar playing."
144,Thunder,Imagine Dragons,Alternative Rock,This song is a high-energy anthem about overcoming challenges and finding your own path.
145,A Forest,The Cure,Gothic Rock,"A dark and atmospheric song with shimmering guitars and Robert Smith's signature vocals, exploring themes of isolation and longing."
146,Zombie (live version),The Cranberries,Alternative Rock,"A powerful and emotional live performance of Zombie, amplifying the song's message against war."
147,Losing My Religion (acoustic version),R.E.M.,Alternative Rock,"A stripped-down and introspective acoustic version of Losing My Religion, highlighting the song's haunting melody and introspective lyrics."
148,Smells Like Teen Spirit (MTV Unplugged version),Nirvana,Grunge,"An intimate and raw unplugged performance of Smells Like Teen Spirit, showcasing the song's vulnerability and Kurt Cobain's emotional delivery."
149,Basket Case (live version),Green Day,Punk Rock,"A ferocious live performance of Basket Case, capturing the band's raw energy and punk rock spirit."
150,Should I Stay or Should I Go,The Clash,Punk Rock,A catchy and energetic punk rock anthem about relationship uncertainty.
151,London Calling,The Clash,Punk Rock,A powerful and anthemic punk rock song criticizing social and political issues.
152,Jump,Van Halen,Hard Rock,A high-energy and iconic hard rock song with a killer guitar solo and David Lee Roth's charismatic vocals.
153,Back in Black (live version),AC/DC,Hard Rock,"A blistering live performance of Back in Black, showcasing the band's raw power and Angus Young's electrifying guitar work."
154,War Pigs,Black Sabbath,Heavy Metal,A dark and brooding heavy metal song with a powerful anti-war message.
155,Crazy Train (live version),Ozzy Osbourne,Heavy Metal,"A ferocious live performance of Crazy Train, capturing Ozzy Osbourne's stage presence and the song's aggressive energy."
156,Master of Puppets (live version),Metallica,Heavy Metal,"A technically-demanding and intense live performance of Master of Puppets, showcasing Metallica's musical proficiency."
157,Enter Sandman (live version),Metallica,Heavy Metal,"A dark and atmospheric live performance of Enter Sandman, recreating the song's haunting soundscape."
158,Killing in the Name,Rage Against the Machine,Rap Metal,A powerful and politically charged rap metal song against racism and social injustice.
159,Bulls on Parade,Rage Against the Machine,Rap Metal,"Another high-energy rap metal song by Rage Against the Machine, criticizing war and social control."
160,Smells Like Teen Spirit (demo version),Nirvana,Grunge,"A raw and unpolished demo version of Smells Like Teen Spirit, offering a glimpse into the song's early stages and Kurt Cobain's creative process."
161,Lithium (live version),Nirvana,Grunge,"A chaotic and energetic live performance of Lithium, showcasing the song's raw energy and Kurt Cobain's powerful vocals."
162,Creep (live version),Radiohead,Alternative Rock,"A captivating live rendition of Creep, showcasing the song's raw emotion and audience connection."
163,Paranoid Android,Radiohead,Alternative Rock,"A complex and experimental song by Radiohead, featuring multiple sections and genre-bending elements."
164,Karma Chameleon (live version),Culture Club,Pop Rock,"A high-energy live performance of Karma Chameleon, capturing the song's playful spirit and catchy melody."
165,Blue Monday (live version),New Order,Electronic,"A mesmerizing live performance of Blue Monday, showcasing the song's innovative use of synthesizers and captivating atmosphere."
166,What a Difference a Day Makes (live version),Dinah Washington,Jazz Blues,"A captivating and soulful live performance of What a Difference a Day Makes, showcasing Dinah Washington's powerful vocals and emotional delivery."
167,Fly Me to the Moon (live version),Frank Sinatra,Swing,"A smooth and sophisticated live performance of Fly Me to the Moon, capturing Frank Sinatra's charisma and timeless vocals."
168,Lemon,Kenshi Yonezu,J-Pop,"A melancholic yet hopeful ballad with beautiful piano melodies, exploring themes of love, loss, and moving forward."
169,Gurenge (紅蓮華),LiSA,Anime Song (Demon Slayer: Kimetsu no Yaiba),"A high-energy rock song with powerful vocals and driving guitars, perfectly capturing the intensity of the Demon Slayer anime."
170,Chiru (散る),Yuuri,Folk Pop,"A gentle and emotional song with a focus on traditional Japanese instruments like the shakuhachi (bamboo flute), conveying feelings of fleeting beauty and acceptance."
171,Pretender,Official髭男dism (Official Hige Dandism),J-Rock,A catchy and uplifting rock song with a positive message about chasing dreams and overcoming challenges.
172,Inochi no Namae (命の名前),Mr. Children,J-Rock,A powerful rock ballad with soaring vocals and emotional lyrics about the preciousness of life and the importance of human connection.
173,Hana (花),Sakanaction,Alternative Rock,"A complex and atmospheric song with layered instrumentation and poetic lyrics, exploring themes of growth and change."
174,PA声音 (PA Voice),YOASOBI,Vocaloid Pop,"A catchy and upbeat song featuring the vocals of the virtual singer Miku Hatsune, with lyrics about overcoming self-doubt and finding your voice."
175,Tsubasa (翼),Yumi Matsutoya (Yuming),City Pop,"A smooth and sophisticated jazz-influenced song with a touch of nostalgia, celebrating freedom and youthful dreams."
176,Sakura (桜),Ichiko Aikawa,Enka,"A classic Enka ballad with heartfelt vocals and traditional Japanese instruments, reflecting on themes of love, loss, and the passage of time."
177,Time Machine,ORANGE RANGE,Ska Punk,"A high-energy and playful song with a blend of ska and punk influences, perfect for getting your groove on."
178,Hikaru Nara (ひかるなら),Goose house feat. yaなぎなぎ (Yanaginagi),Vocaloid Pop,"A beautiful and emotional song featuring the vocals of Yanaginagi and Miku Hatsune, expressing a longing for a brighter future."
179,365 Nichi no March (365日のマーチ),Kiyohiko Okamoto,Kayokyoku,"A cheerful and optimistic song with a simple melody and bright instrumentation, encouraging perseverance and pursuing your goals."
180,Inochi ni Fusaete (命にふさわしい),Spitz,Rock,A powerful and hopeful rock song with a message about resilience and finding strength in challenging times.
181,Aoiイト (Aoi Ito),Aimer,Anime Song (Sword Art Online),"A melancholic yet uplifting ballad with beautiful vocals and piano melodies, capturing the emotional journey of the Sword Art Online characters."
182,Departure (旅立ち),Sukima Switch,J-Pop,A bittersweet and nostalgic song about leaving behind the past and embracing new beginnings.
183,Shangri-La,amazarashi,Alternative Rock,A thought-provoking song with socially conscious lyrics and a dark yet captivating soundscape.
184,Yuenchi Bumpy (ユエンチ Bumpy),BUMP OF CHICKEN,Rock,"A high-energy rock song with driving guitars and powerful vocals, conveying a message of hope and determination."
185,Orion (オリオン),Mr. Children,J-Rock,"A beautiful and melancholic ballad with acoustic guitar and piano, reflecting on themes of loss and finding comfort in memories."
186,Choo Choo TRAIN,EXILE,J-Pop,"A catchy and fun dance song with a blend of electronic and pop elements, perfect for a party."
187,Lines,Kenshi Yonezu,J-Pop,"Another song by Kenshi Yonezu, this one with a more electronic and dance-oriented sound, focusing on themes of self-discovery and finding your place in the world."
188,Peace Sign,Kenshi Yonezu,J-Pop,"Yet another song by the multi-talented Kenshi Yonezu, this one a hopeful and uplifting anthem about peace, unity."
189,Rapport (ラポール),King Gnu,J-Rock,"A funky and groove-oriented rock song with a blend of soul and jazz influences, showcasing King Gnu's tight musicianship."
190,Pretender (アコースティック Ver.),Official髭男dism (Official Hige Dandism),J-Rock,"This acoustic version of ""Pretender"" offers a more stripped-down and intimate feel, highlighting the raw emotion in the vocals and melody."
191,Okaeri (おかえり),Yuzu,Folk Rock,A heartwarming and nostalgic folk-rock song about homecoming and the joy of reuniting with loved ones.
192,I Love You,いきものがかり (Ikigai Bokura),J-Pop,"A sweet and sincere love song with a catchy melody and optimistic lyrics, perfect for expressing your feelings."
193,Senbonzakura (千本桜),Vocaloid,Vocaloid Pop,"A visually stunning Vocaloid song with vibrant electronic sounds and Miku Hatsune's energetic vocals, depicting a breathtaking scene of a thousand cherry blossoms."
194,Habit (ハビット),SEKAI NO OWARI,J-Rock,"A hauntingly beautiful song with dark and atmospheric elements, exploring themes of loneliness and societal pressures."
195,Lemon (English Ver.),Kenshi Yonezu,J-Pop,"This English version of ""Lemon"" stays true to the original's emotional core while allowing international audiences to connect with the song's message."
196,"Komm, süßer Tod (English Ver.)",Yōko Kanno feat. Susanne Böhm,Anime Song (Evangelion),"A hauntingly beautiful song from the Evangelion anime, with operatic vocals and a blend of orchestral and electronic elements. This is the English version of the originally German song."
197,Rinne (輪廻),Gackt,J-Rock,"A dramatic and flamboyant rock song by Gackt, known for his elaborate costumes and theatrical performances."
198,Yakitori (焼鳥),Masaharu Fukuyama,J-Pop,"A fun and lighthearted song by Masaharu Fukuyama, celebrating the joy of Japanese street food culture, particularly yakitori (grilled chicken skewers)."
199,Hana wa no Mai (花は咲く),DREAMS COME TRUE,J-Pop,"A hopeful and uplifting anthem by DREAMS COME TRUE, encouraging perseverance and believing in a brighter future."
200,Sakurairo no Yume (桜色の夢),L'Arc~en~Ciel,J-Rock,"A dreamy and melancholic rock ballad by L'Arc~en~Ciel, with layered guitars and soaring vocals, evoking a sense of nostalgia and longing."
201,Sobakasu (そばかす),Judy and Mary,Rock,"A catchy and energetic rock song by Judy and Mary, tackling themes of individuality and embracing your true self."
202,Linear (リニア),Fujii Kaze,R&B,"A smooth and soulful R&B song by Fujii Kaze, showcasing his impressive vocal range and songwriting skills."
203,PONPONPON (ぽっぽっぽん),Kyary Pamyu Pamyu,J-Pop,"A quirky and playful song by Kyary Pamyu Pamyu, known for her Kawaii (cute) aesthetic and eccentric music videos."
204,Ageha蝶 (Agehachō),Ado,Vocaloid Pop,"A powerful and energetic song featuring the vocals of Ado, exploring themes of personal growth and breaking free from limitations."
205,Gingira Gingira Parade (ギンギラギンギラパーレード),Hitoshi Matsumoto (ダウンタウン松本人志),Comedy Song,"A comedic and nonsensical song by comedian Hitoshi Matsumoto, featuring repetitive lyrics and a catchy melody."
206,World Domination (世界征服),Golden Bomber,Comedy Rock,"Another comedic entry, this time by the outrageous band Golden Bomber. Expect goofy lyrics, outrageous costumes, and a high dose of humor."
207,Cha-La Head Cha (ラ・ラ・ラ サークル),Shôzô Iizuka,Anime Song (Dragon Ball Z),A fast-paced and energetic rock song with a catchy melody. It is a classic and iconic anime theme song that pumps you up with its optimistic and determined lyrics.
208,Spring Day (봄날),BTS,K-Pop,"A melancholic yet hopeful song reflecting on missing a loved one, featuring beautiful vocals and a blend of hip-hop and pop elements."
209,Blueming (청하),IU,K-Pop,"A cheerful and optimistic song about finding joy in the everyday moments, with a catchy melody and bright instrumentation."
210,Celebrity,IU,K-Pop,"A satirical and playful song reflecting on the pressures and double standards of being a celebrity, with a groovy bassline and witty lyrics."
211,Eight (에잇),IU ft. Suga (BTS),K-Pop,"A heartwarming and nostalgic song about cherishing long-lasting friendships, with soulful vocals and a laid-back hip-hop beat."
212,Love Scenario (사랑의 시나리오),iKON,K-Pop,"A sweet and romantic song about the early stages of love, featuring a catchy chorus and a blend of pop and R&B influences."
213,Kill This Love,BLACKPINK,K-Pop,"A powerful and fierce song about female empowerment and breaking free from limitations, with intense rap verses and a driving electronic beat."
214,Dingga (딩가),(G)I-DLE,K-Pop,"A fun and quirky song celebrating individuality and following your own path, featuring a unique blend of genres and playful lyrics."
215,Oh My God,(G)I-DLE,K-Pop,"Another track by (G)I-DLE, this one with a darker and more mysterious vibe, exploring themes of self-discovery and overcoming challenges."
216,Fear (피어),Seventeen,K-Pop,"A powerful and energetic song showcasing Seventeen's synchronized choreography, with a mix of hip-hop and EDM influences."
217,Very Nice,SEVENTEEN,K-Pop,A fun and catchy song by SEVENTEEN highlighting their playful personalities and energetic stage presence.
218,Dinosaur (다이너사워),AKMU,K-Pop,"A quirky and playful song by sibling duo AKMU, with a unique blend of genres and witty lyrics that explore themes of youth and individuality."
219,Loser (연기),BIGBANG,K-Pop,"A soulful and introspective song about heartbreak and self-reflection, with powerful vocals and a blend of hip-hop and R&B influences."
220,Haru Haru (하루하루),BIGBANG,K-Pop,"A classic K-Pop song by BIGBANG with a catchy melody and energetic dance moves, showcasing their charismatic stage presence."
221,Mom (엄마),Heize,R&B,"A heartfelt and emotional song dedicated to mothers, featuring beautiful vocals and a soulful melody."
222,Through the Night (밤편),IU,Ballad,"A beautiful and melancholic ballad about longing and unrequited love, with soaring vocals and a stripped-down piano arrangement."
223,Sober (술청),DAY6,Rock,"A powerful and emotional rock song with raw vocals and driving guitars, exploring themes of heartbreak and healing."
224,Zombie (좀비),DAY6,Rock,"A more playful and energetic rock song by DAY6, with catchy riffs and a fun, zombie-themed music video."
225,Beautiful (아름다운),Crush ft. LOCO,Hip-Hop,"A smooth and soulful hip-hop song celebrating the beauty of everyday life, featuring a catchy chorus and thoughtful lyrics."
226,Don't Wanna Cry (울고 싶지 않아),SEVENTEEN,K-Pop,"A powerful and emotional ballad about overcoming challenges and finding strength, featuring soaring vocals and a building orchestral arrangement."
