Book_ID,Title,Author,Book Description
35,Fahrenheit 451,Ray Bradbury,"Dystopian novel depicting a future society where books are banned and ""firemen"" burn any that are found, exploring themes of censorship and intellectual freedom. It is about a future American society where books are outlawed and “firemen” burn any that are found."
36,The Adventures of Tom Sawyer,Mark Twain,Classic novel depicting the adventures of a young boy named Tom Sawyer in the Mississippi River town of St. Petersburg.
37,Little Women,Louisa May Alcott,"Semi-autobiographical novel following the lives of four sisters, Meg, Jo, Beth, and Amy March, during and after the Civil War in America."
38,Great Expectations,Charles Dickens,"Coming-of-age novel following the life of an orphan named Pip, from his humble beginnings to his adulthood as a gentleman in Victorian England."
39,The Divine Comedy,Dante Alighieri,"Epic poem divided into three partsâ€”Inferno, Purgatorio, and Paradisoâ€”depicting Dante's journey through Hell, Purgatory, and Heaven."
40,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy novel following a young girl named Alice who falls through a rabbit hole into a fantasy world populated by peculiar creatures.
41,The Iliad,Homer,"Ancient Greek epic poem attributed to Homer, chronicling the Trojan War and the wrath of the hero Achilles."
42,A Tale of Two Cities,Charles Dickens,"Historical novel set in London and Paris before and during the French Revolution, exploring themes of resurrection and sacrifice."
43,The Stranger,Albert Camus,"Absurdist novel exploring the existential themes of alienation and absurdity through the story of Meursault, a detached Algerian man."
44,Heart of Darkness,Joseph Conrad,Novella exploring the darkness of the human psyche and the horrors of imperialism through the journey of Charles Marlow up the Congo River.
45,The Sun Also Rises,Ernest Hemingway,Modernist novel following a group of expatriates in post-World War I Europe as they travel from Paris to Pamplona for the running of the bulls.
46,The Sound and the Fury,William Faulkner,"Stream-of-consciousness novel depicting the decline of the Compson family in the American South, told from multiple perspectives."
47,Catch-22,Joseph Heller,"Satirical novel set during World War II, revolving around the experiences of Captain John Yossarian and the absurdity of military bureaucracy."
48,The Old Man and the Sea,Ernest Hemingway,Novella depicting an aging fisherman's struggle against nature and his quest to catch a giant marlin in the Gulf Stream.
49,Of Mice and Men,John Steinbeck,"Novella exploring themes of loneliness, friendship, and the American Dream through the relationship between two migrant workers, George and Lennie."
50,Lolita,Vladimir Nabokov,"Controversial novel narrated by Humbert Humbert, a middle-aged literature professor, who becomes obsessed with a 12-year-old girl named Lolita."
51,Slaughterhouse-Five,Kurt Vonnegut,"Science fiction-infused anti-war novel following the experiences of Billy Pilgrim, a soldier who becomes ""unstuck in time"" and experiences events non-linearly."
52,The Metamorphosis,Franz Kafka,Absurdist novella depicting the transformation of Gregor Samsa into a giant insect and the subsequent alienation from his family and society.
53,Middlemarch,George Eliot,"Novel set in a fictional English Midlands town, exploring the lives and relationships of its inhabitants against the backdrop of societal changes."
54,Ulysses,James Joyce,"Modernist novel set in Dublin, Ireland, over the course of a single day, following the stream-of-consciousness thoughts and experiences of its characters."
55,Beloved,Toni Morrison,Pulitzer Prize-winning novel exploring the legacy of slavery and the trauma of its aftermath through the experiences of a former slave named Sethe.
56,Atlas Shrugged,Ayn Rand,"Philosophical novel promoting Rand's philosophy of objectivism, depicting a dystopian United States where industrialists go on strike against government regulation."
57,The Fountainhead,Ayn Rand,"Philosophical novel advocating individualism and rejecting conformity, telling the story of an innovative architect named Howard Roark."
58,A Christmas Carol,Charles Dickens,"Classic novella depicting the transformation of Ebenezer Scrooge, a miserly old man, after being visited by the ghosts of Christmas Past, Present, and Yet to Come."
59,The Shining,Stephen King,"Horror novel set in an isolated hotel, where the winter caretaker, Jack Torrance, descends into madness, influenced by supernatural forces."
60,A Clockwork Orange,Anthony Burgess,"Dystopian novel following the ultra-violent exploits of Alex, a delinquent teenager, and his subsequent treatment with aversion therapy."
61,Gone with the Wind,Margaret Mitchell,"Historical novel set during the American Civil War and Reconstruction era, focusing on the life of Scarlett O'Hara and her struggles in the South."
62,The Alchemist,Paulo Coelho,A novel by Brazilian author Paulo Coelho that follows the journey of a young Andalusian shepherd named Santiago as he travels from Spain to Egypt in search of treasure.
63,Pride and Prejudice and Zombies,Seth Grahame-Smith,"A parody novel by Seth Grahame-Smith that combines Jane Austen's classic novel with elements of modern zombie fiction, depicting a zombie outbreak in 19th-century England."
64,The Girl with the Dragon Tattoo,Stieg Larsson,A crime novel by Swedish author Stieg Larsson that follows journalist Mikael Blomkvist and hacker Lisbeth Salander as they investigate a decades-old disappearance.
65,The Hunger Games,Suzanne Collins,"The first novel in Suzanne Collins's dystopian trilogy, set in a future society where teenagers are forced to participate in a televised death match known as the Hunger Games."
66,The Martian,Andy Weir,A science fiction novel by Andy Weir that follows astronaut Mark Watney as he is stranded on Mars and must use his ingenuity to survive while awaiting rescue.
67,The Night Circus,Erin Morgenstern,"A fantasy novel by Erin Morgenstern that tells the story of a magical competition between two young illusionists, Celia and Marco, held within a mysterious circus that only appears at night."
68,The Book Thief,Markus Zusak,"A historical novel by Markus Zusak narrated by Death, which tells the story of a young girl named Liesel Meminger living in Nazi Germany during World War II."
69,The Goldfinch,Donna Tartt,"A novel by Donna Tartt that follows the life of Theo Decker after he survives a terrorist bombing at an art museum, leading to his involvement in the world of art forgery and crime."
70,The Secret History,Donna Tartt,"A mystery novel by Donna Tartt that follows a group of students studying classics at an elite college, as they become involved in a murder that has lasting consequences."
71,The Handmaid's Tale,Margaret Atwood,"A dystopian novel by Margaret Atwood set in a future totalitarian society where women are subjugated and used for reproductive purposes, following the story of Offred."
72,Gone Girl,Gillian Flynn,"A psychological thriller novel by Gillian Flynn that explores the disappearance of Amy Dunne and the subsequent media frenzy and investigation, revealing dark secrets along the way."
73,Ready Player One,Ernest Cline,"A science fiction novel by Ernest Cline set in a dystopian future where people escape their harsh reality by entering a virtual reality world called the OASIS, filled with '80s pop culture references."
74,The Help,Kathryn Stockett,"A novel by Kathryn Stockett set in Jackson, Mississippi, during the early 1960s, which tells the story of African American maids working in white households and their struggles for equality."
75,The Da Vinci Code,Dan Brown,A mystery thriller novel by Dan Brown that follows symbologist Robert Langdon as he investigates a murder in the Louvre Museum and uncovers a centuries-old conspiracy.
76,The Kite Runner,Khaled Hosseini,"A novel by Khaled Hosseini that follows the life of Amir, a young boy from Afghanistan, as he navigates friendship, betrayal, and redemption amidst the turmoil of his country."
77,The Road,Cormac McCarthy,"A post-apocalyptic novel by Cormac McCarthy that follows a father and his young son as they journey across a desolate landscape, struggling to survive and maintain their humanity."
78,The Curious Incident of the Dog in the Night-Time,Mark Haddon,A mystery novel by Mark Haddon narrated by a 15-year-old boy named Christopher who investigates the death of his neighbor's dog while also coping with his own personal challenges.
79,The Time Traveler's Wife,Audrey Niffenegger,"A novel by Audrey Niffenegger that tells the story of Henry, a man with a genetic disorder that causes him to involuntarily time travel, and his wife Clare as they navigate their unconventional relationship."
80,Life of Pi,Yann Martel,"A fantasy adventure novel by Yann Martel that follows the journey of a young Indian boy named Pi Patel, who survives a shipwreck and shares a lifeboat with a Bengal tiger named Richard Parker."
81,The Fault in Our Stars,John Green,"A young adult novel by John Green that follows the story of Hazel Grace Lancaster, a teenage cancer patient, as she falls in love with Augustus Waters and grapples with mortality and love."
82,A Song of Ice and Fire series (Game of Thrones),George R.R. Martin,"A fantasy novel series by George R.R. Martin, famously adapted into the television series ""Game of Thrones."" Set in the fictional continents of Westeros and Essos, the series follows the power struggles among noble families as they vie for control of the Iron Throne. Filled with political intrigue, complex characters, and shocking plot twists, it explores themes of power, honor, and betrayal in a world where winter can last for years and supernatural forces threaten the realm."
83,The Three-Body Problem,Cixin Liu,"A first contact story with a twist, exploring humanity's reaction to messages from a technologically advanced alien civilization."
84,Things Fall Apart,Chinua Achebe,A powerful novel depicting the clash of traditions and the arrival of colonialism in Nigeria.
85,The Vegetarian,Han Kang,A disturbing and thought-provoking exploration of female rebellion and societal expectations.
86,The Left Hand of Darkness,Ursula K. Le Guin,A groundbreaking exploration of gender and sexuality in a fictional world.
87,Their Eyes Were Watching God,Zora Neale Hurston,A vibrant and lyrical coming-of-age story celebrating female independence.
88,Pale Fire,Vladimir Nabokov,A complex and playful novel that challenges the nature of reality and storytelling.
89,The Namesake,Jhumpa Lahiri,A poignant story about a Bengali immigrant family navigating cultural identity in America.
90,The Vegetarian Butcher,Alan Bradley,A quirky and humorous detective series featuring a young sleuth with a passion for vegetarianism.
91,Circe,Madeline Miller,"A feminist retelling of the Greek myth of Circe, the sorceress daughter of the sun god Helios."
92,Convenience Store Woman,Sayaka Murata,A darkly comedic exploration of societal expectations and the desire to live outside the norm.
93,Lincoln in the Bardo,George Saunders,An imaginative and moving exploration of grief and loss set during the American Civil War.
94,Exit West,Mohsin Hamid,"A magical realist love story exploring themes of migration, displacement, and the search for home."
95,Homegoing,Yaa Gyasi,A sweeping saga that traces the divergent destinies of two half-sisters separated by the slave trade.
96,The Emperor of All Maladies,Siddhartha Mukherjee,A Pulitzer Prize-winning exploration of the history of cancer and the ongoing battle against this devastating disease.
97,A Short History of Nearly Everything,Bill Bryson,A witty and engaging exploration of the universe and our place within it.
98,Sapiens: A Brief History of Humankind,Yuval Noah Harari,A thought-provoking examination of the history of humankind and our possible future.
99,Born a Crime,Trevor Noah,A funny and insightful memoir about growing up mixed-race in apartheid South Africa.
100,Evicted: Poverty and Profit in the American City,Matthew Desmond,A harrowing and eye-opening look at the realities of poverty and eviction in contemporary America.
101,Between the World and Me,Ta-Nehisi Coates,A powerful and personal letter written by a father to his son about the realities of being Black in America.
102,Middlesex,Jeffrey Eugenides,"A coming-of-age story that explores themes of gender identity, family secrets, and the immigrant experience."
103,The Remains of the Day,Kazuo Ishiguro,A haunting and melancholic novel about a repressed butler and his lost love.
104,The Poisonwood Bible,Barbara Kingsolver,A multi-generational saga that explores the impact of colonialism on a family of missionaries in the Congo.
105,Cloud Atlas,David Mitchell,"A complex and ambitious novel that spans centuries and continents, exploring themes of identity, reincarnation, and connection."
106,Oryx and Crake,Margaret Atwood,A chilling dystopian novel about the dangers of genetic engineering and environmental collapse.
107,The God of Small Things,Arundhati Roy,"A lyrical and moving novel about forbidden love, class differences, and the complexities of family in India."
108,The Handmaid's Tale (different edition),Margaret Atwood,"A feminist dystopian classic exploring themes of oppression, female subjugation, and the power of resistance. (This is a different edition or translation of the same book previously listed)"
109,Americanah,Chimamanda Ngozi Adichie,"A compelling love story that explores themes of race, class, and immigration between Nigeria and America."
110,Pachinko,Min Jin Lee,"A sweeping historical saga that follows a Korean family across generations as they navigate war, displacement, and the search for a new home in Japan."
111,Milkman,Anna Burns,A Booker Prize-winning novel that explores the experience of a young woman living through the Troubles in Northern Ireland.
112,Exit West (different edition),Mohsin Hamid,"A magical realist love story exploring themes of migration, displacement, and the search for home. (This is a different edition or translation of the same book previously listed)"
113,On Earth We're Briefly Gorgeous,Ocean Vuong,A poetic and moving novel about a young Vietnamese American man writing a letter to his mother.
114,The Vegetarian (different edition/translation),Han Kang,A disturbing and thought-provoking exploration of female rebellion and societal expectations. (This is a different edition or translation of the same book previously listed)
115,A Gentleman in Moscow,Amor Towles,A charming and heartwarming story about a Russian aristocrat forced to live in a Moscow hotel after the revolution.
116,Eleanor Oliphant is Completely Fine,Gail Honeyman,A funny and insightful novel about a socially awkward woman who must learn to connect with others.
117,Recursion,Blake Crouch,A mind-bending science fiction thriller about a false memory epidemic that threatens to shatter reality.
118,Project Hail Mary,Andy Weir,"Another thrilling science fiction story by Andy Weir, this time about an amnesiac astronaut who wakes up on a spaceship with no memory of his mission."
119,The Enchanted Forest,Ella Enchanted,A tale of magic and adventure in a mystical forest.
120,Journey to the Unknown,Mystery Writer,An exploration of uncharted territories and the secrets they hold.
121,The Lost Manuscript,A. R. Historian,"A thrilling quest to uncover an ancient, hidden text."
122,Echoes of Eternity,S. T. Timekeeper,A time-travel adventure that spans centuries and dimensions.
123,Midnight Whispers,Luna Nightshade,A haunting mystery set in a moonlit town where secrets whisper through the night.
124,Piranesi,Susanna Clarke,A man explores a seemingly endless house filled with classical statues.
125,Never Let Me Go,Kazuo Ishiguro,A haunting story about clones raised in a boarding school for a dark purpose.
126,The Ministry for the Future,Kim Stanley Robinson,A hopeful vision of humanity coming together to address climate change.
127,The Power,Naomi Alderman,"Women develop the ability to inflict excruciating pain with a touch, upending the power dynamics between genders."
128,The Fifth Season,N.K. Jemisin,A powerful fantasy novel set on a broken Earth where a society struggles to survive cataclysmic geological events.
129,"The Broken Earth Trilogy (The Fifth Season, The Obelisk Gate, The Stone Sky)",N.K. Jemisin,"An epic fantasy trilogy exploring themes of oppression, resilience, and the power of storytelling."
130,A Confederacy of Dunces,John Kennedy Toole,"A hilarious and poignant satire of American life following Ignatius J. Reilly, a lazy and eccentric man."
131,Dune,Frank Herbert,A complex and influential science fiction epic set on a desert planet where spice is the most valuable resource.
132,Station Eleven,Emily St. John Mandel,A post-apocalyptic story following a group of traveling actors in a world ravaged by a flu pandemic.
133,The Murderbot Diaries (series),Martha Wells,A fast-paced science fiction series featuring a reluctant security android.
134,The Poppy War (series),R.F. Kuang,A dark fantasy series inspired by Chinese history.
135,Mexican Gothic,Silvia Moreno-Garcia,A young woman travels to Mexico to help her ailing cousin and finds herself entangled in a gothic mystery.
136,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,A Pulitzer Prize-winning exploration of cancer throughout history.
137,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,Challenges our perception of the world and shows how things are actually improving.
138,"Thinking, Fast and Slow",Daniel Kahneman,Explores the two systems that drive our thinking and how they can lead to biases.
139,"Born a Crime (Trevor Noah) [Repeated, replaced with new entry below]",Trevor Noah,A comedic memoir about growing up biracial in South Africa during apartheid.
140,The Hate U Give (Angie Thomas),A powerful young adult novel about racism and police brutality.,
141,The Brief Wondrous Life of Oscar Wao,Junot Diaz,A vibrant and funny novel about a Dominican family living in the United States.
142,The White Tiger,Aravind Adiga,A darkly comic coming-of-age story set in modern India.
143,The Inheritance of Loss,Kiran Desai,"A sweeping novel about family, identity, and the legacy of colonialism."
144,Train to Pakistan,Khushwant Singh,A historical novel about the partition of India and Pakistan.
145,The Guide,R.K. Narayan,A humorous and satirical novel about a holy man who becomes a tour guide.
146,Malgudi Days,R.K. Narayan,A collection of heartwarming and humorous short stories set in the fictional town of Malgudi.
147,The Argumentative Indian,Amartya Sen,"A collection of essays on Indian culture, politics, and economics."
148,India After Gandhi,Ramachandra Guha,A comprehensive history of India since independence.
149,I Speak for Myself,Arundhati Roy,A collection of essays and lectures by the renowned Indian author.
150,Imaginary Cities,Salman Rushdie,"A magical realist novel exploring themes of migration, identity, and history."
151,Chandrakanta,Devaki Nandan Khatri,A classic Hindi adventure novel about love and heroism.
152,Munshi Premchand Short Stories,Munshi Premchand,A collection of short stories by one of the most important Hindi writers of the 20th century.
153,Godaan,Premchand,A powerful novel about the exploitation of farmers in colonial India.
154,Kashi ka Aswadh,Kashi Nath Singh,A classic Hindi novel set in the holy city of Varanasi.
155,Mailaanchhal,Amrita Pritam,A collection of poems by one of India's most famous poets.
156,Chokher Bali,Rabindranath Tagore,A Bengali novel about a widow who challenges societal expectations.
157,Gitanjali,Rabindranath Tagore,A collection of poems by the Nobel Prize-winning Bengali poet.
158,Sonar Tari,Sukumar Ray,A collection of Bengali nonsense verse for children.
159,The Apu Trilogy,Satyajit Ray,A coming-of-age story about a young boy in rural Bengal.
160,Devi,Sharat Chandra Chattopadhyay,A Bengali novel about a woman who breaks free from social constraints.
161,Ponniyin Selvan,Kalki Krishnamurthy,A historical epic about the Chola dynasty in Tamil Nadu.
162,The Madras Quartet,R.K. Narayan,A series of four novels set in the fictional South Indian town of Malgudi.
163,Karisal,Indira Parthasarathy,A collection of poems exploring themes of feminism and identity.
164,The Autobiography of a Goddess,Meena Kandasamy,A feminist reimagining of the Hindu goddess Parvati.
165,The Palace of Illusions,Chitra Banerjee Divakaruni,A captivating retelling of the Mahabharata from the perspective of Draupadi.
166,Interpreter of Maladies,Jhumpa Lahiri,A collection of short stories about the Indian diaspora.
167,The Shadow Lines,Amitav Ghosh,A novel about the partition of India and its lasting impact.
168,The Book of Hunters and Dreams,Ruskin Bond,A collection of short stories and essays set in the foothills of the Himalayas.
169,OJ: The Friend,Santhosh Kumar,A fictionalized account of the life of N.S. Madhavan.
170,Norwegian Wood,Haruki Murakami,"A poignant novel about love, loss, and coming of age set in 1960s Japan."
171,Kokoro,Natsume Soseki,"A classic Japanese novel exploring themes of loneliness, guilt, and cultural identity."
172,The Wind-Up Bird Chronicle,Haruki Murakami,An enigmatic tale of a man's search for his missing wife and the surreal events that unfold along the way.
173,Snow Country,Yasunari Kawabata,A lyrical novella depicting the love affair between a Tokyo dilettante and a geisha in a remote snow-covered village.
174,Kafka on the Shore,Haruki Murakami,"A mesmerizing novel intertwining the stories of a teenage boy named Kafka Tamura and an elderly man named Nakata, exploring themes of fate, identity, and the supernatural."
175,Rashomon and Other Stories,Ryunosuke Akutagawa,"A collection of short stories including ""Rashomon,"" which explores the nature of truth and perception through multiple perspectives."
176,Battle Royale,Koushun Takami,A dystopian thriller set in a totalitarian Japan where a class of students is forced to fight to the death until only one survivor remains.
177,Kitchen,Banana Yoshimoto,"A contemporary novel that weaves together two stories of love, loss, and resilience centered around the theme of kitchen and cooking."
178,Confessions of a Mask,Yukio Mishima,"A semi-autobiographical novel that explores themes of identity, sexuality, and societal expectations through the story of a young man coming to terms with his homosexuality in pre-war Japan."
179,A Tale for the Time Being,Ruth Ozeki,"A novel that alternates between the perspectives of a Japanese teenager in Tokyo and a writer on a remote island off the coast of British Columbia, exploring themes of time, memory, and the interconnectedness of human lives."
180,Out,Natsuo Kirino,"A gripping thriller about four women working the night shift at a bento factory who become embroiled in a gruesome murder cover-up, exploring themes of female empowerment, social alienation, and the darker side of urban life in Japan."
181,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"A dark and intense novel that follows the relationship between a troubled widow and her son, who becomes involved with a group of nihilistic teenagers, ultimately leading to a shocking and tragic climax."
182,After Dark,Haruki Murakami,"A surreal and atmospheric novel set in Tokyo during the small hours of the night, following the intersecting lives of several characters whose paths cross in unexpected ways."
183,The Sound of Waves,Yukio Mishima,"A tender love story between a young fisherman and the daughter of the wealthiest man in the village, set against the backdrop of a small island community in post-war Japan."
184,Outliers,Malcolm Gladwell,"A non-fiction exploration of the factors that contribute to high levels of success, using case studies to illustrate how cultural, societal, and personal influences shape individual achievement, including a section on the Japanese concept of ""kikokushijo"" (returnees)."
185,Spring Snow,Yukio Mishima,"The first novel in Mishima's ""Sea of Fertility"" tetralogy, depicting the complex and tragic relationship between two aristocratic families against the backdrop of a rapidly changing Japan in the early 20th century."
186,The Devotion of Suspect X,Keigo Higashino,A masterful mystery novel that follows the cat-and-mouse game between a brilliant physicist turned amateur detective and a former classmate who becomes embroiled in a murder investigation.
187,If Cats Disappeared from the World,Genki Kawamura,"A whimsical yet profound novel about a young man who, diagnosed with a terminal illness, strikes a deal with the devil to extend his life by making one thing disappear from the world each day."
188,The Makioka Sisters,Junichiro Tanizaki,"A sweeping family saga set in Osaka during the years leading up to World War II, following the lives of four sisters from a declining aristocratic family as they navigate love, marriage, and societal change."
189,The Master and Margarita,Mikhail Bulgakov,"A surreal and satirical novel that intertwines the stories of Pontius Pilate, a writer known only as ""the Master,"" and Margarita, his lover, against the backdrop of Soviet Russia. Blending fantasy, humor, and philosophical inquiry, the novel explores themes of good and evil, artistic freedom, and the nature of reality."
190,Doctor Zhivago,Boris Pasternak,"A sweeping epic that follows the life of Yuri Zhivago, a physician and poet, against the backdrop of the Russian Revolution and its aftermath. The novel explores themes of love, war, and the struggle for personal and artistic freedom in a tumultuous period of Russian history."
191,Fathers and Sons,Ivan Turgenev,"A novel that explores the generational divide between fathers and sons, as well as the clash between traditional Russian values and emerging nihilism, through the story of an aristocratic family and their interactions with a young nihilist named Bazarov."
192,Eugene Onegin,Alexander Pushkin,"A novel in verse that follows the life of the titular character, Eugene Onegin, a bored and cynical aristocrat, and his interactions with the innocent and idealistic Tatyana. Set against the backdrop of Russian high society, the novel explores themes of love, friendship, and the search for meaning."
193,The Idiot,Fyodor Dostoevsky,"A novel that follows the story of Prince Lev Nikolaevich Myshkin, a compassionate and naive young man who returns to Russia after spending several years in a Swiss sanatorium. Often regarded as one of Dostoevsky's most enigmatic characters, Myshkin navigates the complexities of Russian society and the machinations of those around him with tragic consequences."
194,Dead Souls,Nikolai Gogol,"A satirical novel that follows the exploits of the opportunist Chichikov as he travels through the Russian countryside purchasing ""dead souls"" (serfs who have died but are still listed on the census) in order to improve his social standing and financial prospects. Set against the backdrop of 19th-century Russia, the novel offers a scathing critique of greed, corruption, and social hierarchy."
195,The Gulag Archipelago,Aleksandr Solzhenitsyn,"A monumental work of non-fiction that chronicles the Soviet forced labor camp system (the ""Gulag"") and the experiences of its prisoners. Drawing on personal accounts, interviews, and archival materials, Solzhenitsyn exposes the horrors of the Soviet regime and its impact on millions of lives."
196,Fathers and Children,Ivan Turgenev,A novel that explores the generational conflict between the older generation of Russian aristocrats and the younger generation of
197,"Kim Jiyoung, Born 1982",Cho Nam-Joo,A social commentary on the experiences of women in contemporary Korean society.
198,Please Look After Mom,Kyung-sook Shin,A poignant exploration of family relationships and memory loss.
199,The Guest,Hwang Sok-yong,A North Korean defector grapples with identity and belonging in South Korea.
200,Confessions of a Taxidermist,Yeo Kyung-Lee,A darkly humorous satire on social class and consumerism.
201,The Vegetarian's Husband,Han Kang,"A companion novel to ""The Vegetarian"", exploring the experience of the protagonist's husband."
202,Human Acts,Han Kang,A haunting story of the Gwangju Uprising in South Korea through the eyes of different characters.
203,The Hen,Kim Young-ha,A darkly comic novel about a family living in poverty and the arrival of a mysterious chicken.
204,The Dwarf,Kim Yun-Suk,A historical novel based on the life of a dwarf who served as a court jester during the Joseon Dynasty.
205,The Tale of Hong Gildong,Ho Kyun,A classic adventure novel about a rebellious Robin Hood-like figure.
206,The Springtime of Life,Kim Sowol,A collection of poems known for their beautiful imagery and exploration of nature.
207,The Nine Cloud Dream,Kim Man-jung,A satirical novel critiquing social and political corruption in the Joseon Dynasty.
208,Minority,Hwang Sok-yong,A moving story about North Korean defectors struggling to adapt to life in South Korea.
209,The Hole,Pyun Hye-young,A psychological thriller about a woman who becomes obsessed with a mysterious hole in her apartment.
210,Six Wallets,Kang Young-sook,"A collection of interconnected stories exploring themes of love, loss, and connection."
211,Almond,Won-Pyung Sohn,A coming-of-age story about a teenager with a neurological condition that affects his ability to feel emotions.
212,The Girl with a Louding Voice,Cho Nam-Joo,A powerful coming-of-age story about a young woman fighting for her education and independence.
213,Burning,Jung Hae-in,A mysterious and atmospheric novel that was adapted into a critically acclaimed film.
214,The Goblin Emperor,Katherine Addison,A fantasy novel set in Korea with a focus on court politics and self-discovery.
215,Nine Lives,Hwang Sok-yong,A historical novel exploring the lives of nine women over 200 years of Korean history.
216,The Birdcage,Kim So-yeon,A historical novel about a group of women who are forced to become royal concubines.
217,The Beauty Inside,Seo-Kyung Lee,A romantic comedy about a man who wakes up each day looking like a different person.
218,Love in the Moonlight,Yoon In-hwa,A historical romance set during the Joseon Dynasty.
219,Fight for My Way,Baek Se-hee,A light novel about two friends who support each other's dreams of becoming successful.
220,Solo Leveling,Chugong,A fantasy webtoon about a low-ranked hunter who gains incredible power.
